Title,Print ISSN,e-ISSN
Journal of Hospital Librarianship,1532-3269,1532-3277
Journal of Hospital Marketing,0883-7570,
Journal of Hospital Marketing & Public Relations,1539-0942,1539-0934
Journal of Hospital Medicine,1553-5592,1553-5606
Journal of Hospitality & Leisure for the Elderly,1540-8531,1540-854X
Journal of Hospitality & Leisure Marketing,1050-7051,1541-0897
Journal of Hospitality & Tourism Research,1096-3480,1557-7554
Journal of Hospitality and Tourism Management,1447-6770,
Journal of Hospitality Marketing and Management,1936-8623,1936-8631
Journal of Housing and the Built Environment,1566-4910,1573-7772
Journal of Housing Economics,1051-1377,
Journal of Housing for the Elderly,0276-3893,1540-353X
Journal of Housing for the Elderly,0276-3893,1540-353X
Journal of Huazhong University of Science and Technology,1672-0733,1993-1352
Journal of Human Behavior in the Social Environment,1091-1359,1540-3556
Journal of Human Behavior in the Social Environment,1091-1359,1540-3556
Journal of Human Capital,1932-8575,1932-8664
Journal of Human Development,1464-9888,1469-9516
Journal of Human Development and Capabilities,1945-2829,1945-2837
Journal of Human Evolution,0047-2484,
Journal of Human Hypertension,0950-9240,1476-5527
Journal of Human Lactation,0890-3344,1552-5732
Journal of Human Nutrition and Dietetics,0952-3871,1365-277X
Journal of Human Reproductive Sciences,0974-1208,1998-4766
Journal of Human Resource Costing & Accounting,1401-338X,
Journal of Human Resources in Hospitality & Tourism,1533-2845,1533-2853
Journal of Human Resources in Hospitality & Tourism,1533-2845,1533-2853
Journal of Human Rights,1475-4835,1475-4843
Journal of Human Rights and the Environment,1759-7188,1759-7196
Journal of Human Rights Practice,1757-9619,1757-9627
Journal of Human Values,0971-6858,
Journal of Humanistic Psychology,0022-1678,1552-650X
Journal of Hunger & Environmental Nutrition,1932-0248,1932-0256
Journal of Hunger and Environmental Nutrition,1932-0248,1932-0256
Journal of Hydraulic Engineering,0733-9429,1943-7900
Journal of Hydraulic Research,0022-1686,1814-2079
Journal of Hydro-Environment Research,1570-6443,
Journal of Hydrodynamics,1001-6058,
Journal of Hydrologic Engineering,1084-0699,1943-5584
Journal of Hydrology,0022-1694,
Journal of Hydrometeorology,1525-755X,1525-7541
Journal of Hyperbolic Differential Equations,0219-8916,1793-6993
Journal of Hypertension,0263-6352,
Journal of Hypertension - Supplement,0952-1178,
Journal of Iberian and Latin American Research,1326-0219,2151-9668
Journal of Iberian and Latin American Studies,1470-1847,1469-9524
Journal of Ichthyology,0032-9452,1555-6425
Journal of Image Guided Surgery,1078-7844,1522-712X
Journal of Imagery Research in Sport and Physical Activity,,1932-0191
Journal of Imaging Science and Technology,1062-3701,
Journal of Immigrant & Refugee Services,1536-2949,1536-2957
Journal of Immigrant & Refugee Studies,1556-2948,1556-2956
Journal of Immigrant & Refugee Studies,1556-2948,1556-2956
Journal of Immigrant and Minority Health,1557-1912,1557-1920
Journal of Immune Based Therapies and Vaccines,,1476-8518
Journal of Immunoassay & Immunochemistry,1532-1819,1532-4230
Journal of Immunological Methods,0022-1759,
Journal of Immunotherapy,1524-9557,
Journal of Immunotherapy (1993-1997),1053-8550,
Journal of Immunotherapy with Emphasis on Tumor Immunology,1067-5582,
Journal of Immunotoxicology (Informa),1547-691X,1547-6901
Journal of Immunotoxicology (T&F),1547-691X,1547-6901
Journal of Imperial & Commonwealth History,0308-6534,1743-9329
Journal of In-Service Education,1367-4587,1747-5082
Journal of Inclusion Phenomena and Macrocyclic,0923-0750,1573-1111
Journal of Income Distribution,0926-6437,
Journal of Indian Academy of Oral Medicine and Radiology,0972-1362,
Journal of Indian Academy of Oral Medicine and Radiology,0972-1363,0975-1572
Journal of Indian Association of Pediatric Surgeons,0971-9261,1998-3891
Journal of Indian Business Research,1755-4195,
Journal of Indian Philosophy,0022-1791,1573-0395
Journal of Indian Society of Periodontics and Preventive Dentistry,0970-4388,1998-3905
Journal of Indian Society of Periodontology,0972-124X,
Journal of Individual Differences,1614-0001,2151-2299
Journal of Industrial Aerodynamics,0304-3908,
Journal of Industrial and Engineering Chemistry,1226-086X,
Journal of Industrial Hemp,1537-7881,1537-789X
Journal of Industrial Microbiology and Biotechnology,,E-N/A
Journal of Industrial Organization Education,,1935-5041
Journal of Industrial Relations,0022-1856,
Journal of Industrial Textiles,1528-0837,1530-8057
"Journal of Industry, Competition and Trade",1566-1679,1573-7012
Journal of Inequalities and Applications,1025-5834,1029-242X
"Journal of Infant, Child, and Adolescent Psychotherapy",1528-9168,1940-9214
Journal of Infection,0163-4453,
Journal of Infection Prevention,1757-1774,1754-7156
Journal of Infectious Disease Pharmacotherapy,1068-7777,1540-711X
Journal of Infectious Diseases,0022-1899,1537-6613
Journal of Inflammation,,1476-9255
Journal of Information & Knowledge Management,0219-6492,1793-6926
Journal of Information Display,1598-0316,2158-1606
Journal of Information Science,0165-5515,1741-6485
Journal of Information Systems,0888-7985,1558-7959
Journal of Information Technology,0268-3962,1466-4437
Journal of Information Technology & Politics,1933-1681,1933-169X
Journal of Information Techology for Teacher Education,0962-029X,
"Journal of Information, Communication and Ethics in Society",1477-996X,
Journal of Informetrics,1751-1577,
"Journal of Infrared, Millimeter, and Terahertz Waves",1866-6892,1866-6906
Journal of Infrastructure,,
Journal of Infrastructure Development,0974-9306,0975-5969
Journal of Infrastructure Systems,1076-0342,1943-555X
Journal of Infusion Nursing,1533-1458,
Journal of Inherited Metabolic Disease,0141-8955,1573-2665
Journal of Innate Immunity,1662-811X,1662-8128
Journal of Innovative Optical Health Sciences,1793-5458,1793-7205
Journal of Inorganic and Nuclear Chemistry,0022-1902,
Journal of Inorganic and Organometallic Polymers and Materials,1574-1443,1574-1451
Journal of Inorganic Biochemistry,0162-0134,
Journal of Insect Behavior,0892-7553,1572-8889
Journal of Insect Conservation,1366-638X,1572-9753
Journal of Insect Physiology,0022-1910,
Journal of Insect Science,,1536-2442
Journal of Institutional Economics,1744-1374,1744-1382
Journal of Instrumentation,,1748-0221
Journal of Integrated Pest Management,,2155-7470
Journal of Integrative Environmental Sciences,1943-815X,1943-8168
Journal of Integrative Neuroscience,0219-6352,1757-448X
Journal of Integrative Plant Biology,1672-9072,1744-7909
Journal of Intellectual and Developmental Disability (Informa),1366-8250,1469-9532
Journal of Intellectual and Developmental Disability (T&F),1366-8250,1469-9532
Journal of Intellectual Capital,1469-1930,
Journal of Intellectual Disabilities,1744-6295,1744-6309
Journal of Intellectual Disability Research,0964-2633,1365-2788
Journal of Intellectual Property Law and Practice,1747-1532,1747-1540
Journal of Intelligent and Robotic Systems,0921-0296,1573-0409
Journal of Intelligent Information Systems,0925-9902,1573-7675
Journal of Intelligent Manufacturing,0956-5515,1572-8145
Journal of Intelligent Materials Systems and Structures,1045-389X,1530-8138
Journal of Intelligent Systems,0334-1860,2191-026X
Journal of Intelligent Transportation Systems,1547-2450,1547-2442
Journal of Intensive Care Medicine,0885-0666,1525-1489
Journal of Interactional Research in Communication Disorders,2040-5111,2040-512X
Journal of Interactive Marketing,1094-9968,1520-6653
Journal of Interactive Technology and Pedagogy,,
Journal of Interconnection Networks,0219-2659,1793-6713
Journal of Intercultural Communication Research,1747-5759,1747-5767
Journal of Intercultural Studies,0725-6868,1469-9540
Journal of Interferon & Cytokine Research,1079-9907,1557-7465
Journal of Intergenerational Relationships,1535-0770,1535-0932
Journal of Intergenerational Relationships,1535-0770,1535-0932
Journal of Intergrated Care Pathways,1473-2297,1758-1079
Journal of Interior Design,1071-7641,1939-1668
"Journal of Interlibrary Loan, Document Delivery & Electronic Reserve",1072-303X,1540-3572
"Journal of Interlibrary Loan, Document Delivery & Electronic Reserve",1072-303X,1540-3572
Journal of Internal Medicine,0954-6820,1365-2796
Journal of International Accounting Research,1542-6297,1558-8025
"Journal of International Accounting, Auditing and Taxation",1061-9518,
Journal of International and Intercultural Communication,1751-3057,1751-3065
Journal of International Biotechnology Law,1612-6068,1612-6076
"Journal of International Commerce, Economics and Policy",1793-9933,1793-9941
Journal of International Communication,1321-6597,2162-7177
Journal of International Consumer Marketing,0896-1530,1528-7068
Journal of International Consumer Marketing,0896-1530,1528-7068
Journal of International Criminal Justice,1478-1387,1478-1395
Journal of International Development,0954-1748,1099-1328
Journal of International Economic Law,1369-3034,1464-3758
Journal of International Economics,0022-1996,
Journal of International Entrepreneurship,1570-7385,1573-7349
Journal of International Financial Management & Accounting,0954-1314,1467-646X
"Journal of International Financial Markets, Institutions & Money",1042-4431,1873-0612
"Journal of International Financial Markets, Institutions and Money",1042-4431,
Journal of International Food & Agribusiness Marketing,0897-4438,1528-6983
Journal of International Food & Agribusiness Marketing,0897-4438,1528-6983
Journal of International Humanitarian Legal Studies,1878-1373,1878-1527
Journal of International Management,1075-4253,
Journal of International Marketing,1069-031X,1547-7215
Journal of International Migration and Integration,1488-3473,1874-6365
Journal of International Money and Finance,0261-5606,
Journal of International Peacekeeping,1875-4104,1875-4112
Journal of International Political Theory,1755-0882,1755-1722
Journal of International Relations and Development,1408-6980,1581-1980
Journal of International Trade & Economic Development,0963-8199,1469-9559
Journal of International Trade Law and Policy,1477-0024,
Journal of International Wildlife Law and Policy,1388-0292,1548-1476
Journal of Internet Cataloging,1091-1367,1528-7017
Journal of Internet Commerce,1533-2861,1533-287X
Journal of Internet Commerce,1533-2861,1533-287X
Journal of Internet Services and Applications,1867-4828,1869-0238
Journal of Interpersonal Violence,0886-2605,1552-6518
Journal of Interprofessional Care (Informa),1356-1820,1469-9567
Journal of Interprofessional Care (T&F),1356-1820,1469-9567
Journal of Intervention and Statebuilding,1750-2977,1750-2985
Journal of Interventional Cardiac Electrophysiology,1383-875X,1572-8595
Journal of Interventional Cardiology,0896-4327,1540-8183
Journal of Intravenous Nursing,0896-5846,
Journal of Inverse and Ill-Posed Problems (Brill),0928-0219,1569-3945
Journal of Inverse and Ill-Posed Problems (De Gruyter),0928-0219,1569-3945
Journal of Invertebrate Pathology,0022-2011,
Journal of Investigative and Clinical Dentistry,2041-1618,2041-1626
Journal of Investigative Dermatology,0022-202X,1523-1747
Journal of Investigative Medicine,1081-5589,
Journal of Investigative Psychology and Offender Profiling,1544-4759,1544-4767
Journal of Investigative Surgery (Informa),0894-1939,1521-0553
Journal of Investigative Surgery (T&F),0894-1939,1521-0553
Journal of Investment Compliance,1528-5812,
Journal of Irrigation and Drainage Engineering,0733-9437,1943-4774
Journal of Islamic Law and Culture,1528-817X,1753-4534
Journal of Islamic Manuscripts,1878-4631,1878-464X
Journal of Islamic Philosophy,1536-4569,1536-4755
Journal of Islamic Studies,0955-2340,1471-6917
Journal of Island & Coastal Archaeology,1556-4894,1556-1828
Journal of Israeli History,1353-1042,1744-0548
Journal of Jewish Education,1524-4113,1554-611X
Journal of Jewish Languages,2213-4387,2213-4638
Journal of King Saud University - Science,1018-3647,
Journal of Knee Surgery,1538-8506,1938-2480
Journal of Knot Theory & Its Ramifications,0218-2165,1793-6527
Journal of Knowledge Management,1367-3270,
Journal of Knowledge-based Innovation in China,1756-1418,
Journal of Labelled Compounds and Radiopharmaceuticals,0362-4803,1099-1344
Journal of Labor Economics,0734-306X,1537-5307
Journal of Labor Research,0195-3613,1936-4768
Journal of Laboratory and Clinical Medicine,0022-2143,
Journal of Laboratory Physicians,0974-2727,
Journal of Land Use Science,1747-423X,1747-4248
Journal of Language and Politics,1569-2159,1569-9862
Journal of Language and Social Psychology,0261-927X,1552-6526
Journal of Language Contact,1877-4091,1955-2629
"Journal of Language, Identity & Education",1534-8458,1532-7701
"Journal of Language, Literature and Culture",2051-2856,2051-2864
Journal of Laparoendoscopic & Advanced Surgical Techniques,1092-6429,1557-9034
Journal of Late Antiquity,1939-6716,1942-1273
Journal of Latin American and Caribbean Anthropology,1935-4932,1935-4940
Journal of Latin American Anthropology (AAA),1085-7052,1548-7180
Journal of Latin American Anthropology (Wiley),1085-7052,1548-7180
Journal of Latin American Cultural Studies,1356-9325,1469-9575
Journal of Latin American Studies,0022-216X,1469-767X
Journal of Latinos and Education,1534-8431,1532-771X
Journal of Law and Courts,2164-6570,2164-6589
Journal of Law and Economics,0022-2186,1537-5285
Journal of Law and Society,0263-323X,1467-6478
"Journal of Law, Economics and Organization",8756-6222,1465-7341
"Journal of Law, Religion and State",2212-6465,2212-4810
Journal of Leadership and Organizational Studies,1071-7919,1939-7089
Journal of Leadership and Organizational Studies,1548-0518,
Journal of Leadership Studies,1935-2611,1935-262X
Journal of Learning Disabilities,0022-2194,1538-4780
Journal of Learning Disabilities and Offending Behaviour,2042-0927,2042-8693
Journal of Legal Affairs and Dispute Resolution in Engineering and Construction,1943-4162,1943-4170
Journal of Legal History,0144-0365,1744-0564
Journal of Legal Medicine,0194-7648,1521-057X
Journal of Legal Studies,0047-2530,1537-5366
Journal of Legal Studies Education,0896-5811,1744-1722
Journal of Legislative Studies,1357-2334,1743-9337
Journal of Lesbian Studies,1089-4160,1540-3548
Journal of Lesbian Studies,1089-4160,1540-3548
Journal of LGBT Health Research,1557-4091,1557-4105
Journal of LGBT Health Research,1557-4091,1557-4105
Journal of LGBT Issues in Counseling,1553-8605,1553-8338
Journal of LGBT Issues in Counseling,1553-8605,1553-8338
"Journal of LGBT Politics, Policy & Law",1537-9426,1540-7128
Journal of LGBT Youth,1936-1653,1936-1661
Journal of Librarianship and Information Science,0961-0006,1741-6477
Journal of Library & Information Services in Distance Learning,1533-290X,1533-2918
Journal of Library & Information Services in Distance Learning,1533-290X,1533-2918
Journal of Library Administration,0193-0826,1540-3564
Journal of Library Administration,0193-0826,1540-3564
Journal of Library End-User Services & Support,1533-2721,1533-273X
Journal of Library Metadata,1938-6389,1937-5034
Journal of Light Metals,1471-5317,
Journal of Lightwave Technology,0733-8724,
Journal of Linguistic Anthropology (AAA),1055-1360,1548-1395
Journal of Linguistic Anthropology (Wiley),1055-1360,1548-1395
Journal of Linguistics,0022-2267,1469-7742
Journal of Lipid Mediators and Cell Signalling,0929-7855,
Journal of Lipids,2090-3030,2090-3049
Journal of Liposome Research (Informa),0898-2104,1532-2394
Journal of Liposome Research (T&F),0898-2104,1532-2394
Journal of Liquid Chromatography,0148-3919,
Journal of Liquid Chromatorgraphy & Related Technologies,1082-6076,1520-572X
Journal of Literacy Research (Sage),1086-296X,1554-8430
Journal of Literacy Research (T&F),1086-296X,1554-8430
Journal of Literary & Cultural Disability Studies,1757-6458,1757-6466
Journal of Literary Semantics,0341-7638,1613-3838
Journal of Literary Studies,0256-4718,1753-5387
Journal of Literary Theory,1862-5290,1862-8990
Journal of Location Based Services,1748-9725,1748-9733
Journal of Logic and Algebraic Programming,1567-8326,
Journal of Logic and Computation,0955-792X,1465-363X
Journal of Logic Programming,0743-1066,
"Journal of Logic, Language and Information",0925-8531,1572-9583
Journal of Long-Term Effects of Medical Implants,1050-6934,1940-4379
Journal of Loss & Trauma,1532-5024,1532-5032
Journal of Loss Prevention in the Process Industries,0950-4230,
Journal of Low Temperature Physics,0022-2291,1573-7357
Journal of Lower Genital Tract Disease,1089-2591,
Journal of Luminescence,0022-2313,
Journal of Machinery Manufacture and Reliability,1052-6188,1934-9394
Journal of Macroeconomics,0164-0704,
Journal of Macromarketing,0276-1467,1552-6534
Journal of Macromolecular Science: Part A - Chemistry,0022-233X,
Journal of Macromolecular Science: Part A - Pure & Applied Chemistry,1060-1325,1520-5738
Journal of Macromolecular Science: Part B - Physics,0022-2348,1525-609X
Journal of Macromolecular Science: Part C - Polymer Reviews,1532-1797,1520-5746
Journal of Macromolecular Science: Part D - Reviews in Polymer Processing and Technology,0022-2321,
Journal of Magnetic Resonance,1090-7807,
Journal of Magnetic Resonance (1969),0022-2364,
Journal of Magnetic Resonance Imaging,1053-1807,1522-2586
"Journal of Magnetic Resonance, Series A",1064-1858,
"Journal of Magnetic Resonance, Series B",1064-1866,
Journal of Magnetism and Magnetic Materials,0304-8853,
Journal of Maintenance in the Addictions,1091-1332,1540-7624
Journal of Mammalian Evolution,1064-7554,1573-7055
Journal of Mammalian Ova Research,1341-7738,1347-5878
Journal of Mammalogy,0022-2372,1545-1542
Journal of Mammary Gland and Neoplasia,1083-3021,1573-7039
Journal of Managed Pharmaceutical Care,1534-9713,1534-9721
Journal of Management (Elsevier),0149-2063,1557-1211
Journal of Management (Sage),0149-2063,1557-1211
Journal of Management & Governance,1385-3457,1572-963X
Journal of Management & Marketing in Healthcare,1753-3031,1753-304X
Journal of Management Accounting Research,1049-2127,1558-8033
Journal of Management Control,2191-4761,2191-477X
Journal of Management Development,0262-1711,
Journal of Management Education,1052-5629,1552-6658
Journal of Management History,1751-1348,
Journal of Management History (Archive),1355-252X,
Journal of Management in Engineering,0742-597X,1943-5479
Journal of Management in Medicine,0268-9235,
Journal of Management Information Systems,0742-1222,1557-928X
Journal of Management Inquiry,1056-4926,1552-6542
Journal of Management Studies,0022-2380,1467-6486
"Journal of Management, Spirituality & Religion",1476-6086,1942-258X
Journal of Managerial Psychology,0268-3946,
Journal of Manipulative and Physiological Therapeutics,0161-4754,
Journal of Manual & Manipulative Therapy,1066-9817,2042-6186
Journal of Manufacturing Science and Engineering,1087-1357,1528-8935
Journal of Manufacturing Systems,0278-6125,
Journal of Manufacturing Technology Management,1741-038X,
Journal of Map & Geography Libraries,1542-0353,1542-0361
Journal of Map & Geography Libraries,1542-0353,1542-0361
Journal of Maps,,1744-5647
Journal of Marine Biology,1687-9481,1687-949X
Journal of Marine Science and Application,1671-9433,1993-5048
Journal of Marine Systems,0924-7963,
Journal of Marital and Family Therapy,0194-472X,1752-0606
Journal of maritime Archaeology,1557-2285,1557-2293
Journal of Marketing,0022-2429,1547-7185
Journal of Marketing Channels,1046-669X,1540-7039
Journal of Marketing Channels,1046-669X,1540-7039
Journal of Marketing Communications,1352-7266,1466-4445
Journal of Marketing Education,0273-4753,1552-6550
Journal of Marketing for HIGHER EDUCATION,0884-1241,1540-7144
Journal of Marketing for Higher Education,0884-1241,1540-7144
Journal of Marketing Management,0267-257X,1472-1376
Journal of Marketing Practice: Applied Marketing Science,1355-2538,
Journal of Marketing Research,0022-2437,1547-7193
Journal of Marketing Theory and Practice,1069-6679,1944-7175
Journal of Marriage and Family,0022-2445,1741-3737
Journal of Mass Media Ethics,0890-0523,1532-7728
Journal of Mass Spectrometry,1076-5174,1096-9888
Journal of Material Culture,1359-1835,1460-3586
Journal of Materials Chemistry,0959-9428,1364-5501
Journal of Materials in Civil Engineering,0899-1561,1943-5533
Journal of Materials Processing Technology,0924-0136,
Journal of Materials Science,0022-2461,1573-4803
Journal of Materials Science: Materials in Electronics,0957-4522,1573-482X
Journal of Materials Science: Materials in Medicine,0957-4530,1573-4838
Journal of Maternal-Fetal and Neonatal Medicine (Informa),1476-7058,1476-4954
Journal of Maternal-Fetal and Neonatal Medicine (T&F),1476-7058,1476-4954
Journal of Maternal-Fetal Medicine,1057-0802,1520-6661
Journal of Mathematical Analysis and Applications,0022-247X,
Journal of Mathematical Behavior,0732-3123,
Journal of Mathematical Biology,0303-6812,1432-1416
Journal of Mathematical Chemistry,0259-9791,1572-8897
Journal of Mathematical Cryptology,1862-2976,1862-2984
Journal of Mathematical Economics,0304-4068,
Journal of Mathematical Fluid Mechanics,1422-6928,1422-6952
Journal of Mathematical Imaging and Vision,0924-9907,1573-7683
Journal of Mathematical Logic,0219-0613,1793-6691
Journal of Mathematical Modelling and Algorithms,1570-1166,1572-9214
Journal of Mathematical Neuroscience,,2190-8567
Journal of Mathematical Physics,0022-2488,1089-7658
Journal of Mathematical Psychology,0022-2496,
Journal of Mathematical Sciences,1072-3374,1573-8795
Journal of Mathematical Sociology,0022-250X,1545-5874
Journal of Mathematics and Music,1745-9737,1745-9745
Journal of Mathematics and the Arts,1751-3472,1751-3480
Journal of Mathematics in Industry,,2190-5983
Journal of Mathematics Teacher Education,1386-4416,1573-1820
Journal of Maxillofacial Surgery,0301-0503,
Journal of Mechanical Design,1050-0472,1528-9001
Journal of Mechanical Science and Technology,1738-494X,1976-3824
Journal of Mechanical Working Technology,0378-3804,
Journal of Mechanics in Medicine & Biology,0219-5194,1793-6810
Journal of Mechanisms,0022-2569,
Journal of Mechanisms and Robotics,1942-4302,1942-4310
Journal of Mechatronics and Applications,2090-018X,2090-0198
Journal of Media and Religion,1534-8423,1534-8415
Journal of Media Economics,0899-7764,1532-7736
Journal of Media Psychology,1864-1105,2151-2388
Journal of Medical Biography,0967-7720,1758-1087
Journal of Medical Case Reports,,1752-1947
Journal of Medical Colleges of PLA,1000-1948,
Journal of Medical Devices,1932-6181,1932-619X
Journal of Medical Economics,1369-6998,1941-837X
Journal of Medical Education,0022-2577,
Journal of Medical Engineering & Technology (Informa),0309-1902,1464-522X
Journal of Medical Engineering & Technology (T&F),0309-1902,1464-522X
Journal of Medical Entomology  (Entomology),0022-2585,1938-2928
Journal of Medical Entomology (BioOne),0022-2585,
Journal of Medical Humanities,1041-3545,1573-3645
Journal of Medical Imaging and Radiation Oncology,1754-9477,1754-9485
Journal of Medical Imaging and Radiation Sciences,1939-8654,
Journal of Medical Marketing (Palgrave),1745-7904,1745-7912
"Journal of Medical Marketing: Device, Diagnostic and Pharmaceutical  Marketing (Sage)",1745-7904,1745-7912
Journal of Medical Microbiology,0022-2615,1473-5644
Journal of Medical Physics,0971-6203,1998-3913
Journal of Medical Primatology,0047-2565,1600-0684
Journal of Medical Screening,0969-1413,1475-5793
Journal of Medical Systems,0148-5598,1573-689X
Journal of Medical Ultrasonics,1346-4523,1613-2254
Journal of Medical Virology,0146-6615,1096-9071
Journal of Medicinal Chemistry,0022-2623,1520-4804
Journal of Medicinal Food,1096-620X,1557-7600
Journal of Medicine and Philosophy (OUP),0360-5310,1744-5019
Journal of Medicine and Philosophy (T&F),0360-5310,1744-5019
Journal of Medieval and Early Modern Studies,1082-9636,1527-8263
Journal of Medieval History,0304-4181,
Journal of Medieval History,0304-4181,1873-1279
Journal of Medieval Iberian Studies,1754-6559,1754-6567
Journal of Medieval Religious Cultures,1947-6566,2153-9650
Journal of Mediterranean Archaeology,0952-7648,1743-1700
Journal of Membrane Biology,0022-2631,1432-1424
Journal of Membrane Science,0376-7388,
Journal of Memory and Language,0749-596X,
Journal of Men's Health,1875-6867,
Journal of Men's Health & Gender,1571-8913,
Journal of Mental Health (Informa),0963-8237,1360-0567
Journal of Mental Health (T&F),0963-8237,1360-0567
Journal of Mental Health Policy and Economics,1091-4358,1099-176X
Journal of Mental Health Research in Intellectual Disabilities,1931-5864,1931-5872
"Journal of Mental Health Training, Education and Practice",1755-6228,2042-8707
Journal of Metallurgy,1687-9465,1687-9473
Journal of Metamorphic Geology,0263-4929,1525-1314
Journal of Meteorology,0095-9634,
Journal of Micro-Nano Mechatronics,1865-3928,1865-3936
"Journal of Micro/Nanolithography, MEMS, and MOEMS",1932-5150,1932-5134
Journal of Microbiological Methods,0167-7012,
Journal of Microbiology,1225-8873,1976-3794
Journal of Microcolumn Separations,1040-7685,1520-667X
Journal of Microcomputer Applications,0745-7138,
Journal of Microelectromechanical Systems,1057-7157,
Journal of Microencapsulation (Informa),0265-2048,1464-5246
Journal of Microencapsulation (T&F),0265-2048,1464-5246
"Journal of Microlithography, Microfabrication, and Microsystems",1537-1646,1817-6461
Journal of Micromechanics and Microengineering,0960-1317,1361-6439
Journal of Micromechatronics,1389-2258,
Journal of Microscopy,0022-2720,1365-2818
Journal of Mid-Life Health,0976-7800,0976-7819
Journal of Middle East Women's Studies,1552-5864,1558-9579
Journal of Midwifery & Women's Health,1526-9523,
Journal of Military Ethics,1502-7570,1502-7589
Journal of Minimal Access Surgery,0972-9941,1998-3921
Journal of Minimally Invasive Gynecology,1553-4650,
Journal of Mining Science,1062-7391,1573-8736
Journal of Ministry in Addiction & Recovery,1053-8755,1528-6908
Journal of Ministry in Addiction & Recovery,1053-8755,1528-6908
Journal of Ministry Marketing & Management,1057-1523,1528-6894
Journal of Ministry Marketing & Management,1057-1523,1528-6894
Journal of Mixed Methods Research,1558-6898,1558-6901
Journal of Modelling in Management,1746-5664,
Journal of Modern Chinese History,1753-5654,1753-5662
Journal of Modern Greek Studies,0738-1727,1086-3265
Journal of Modern History,0022-2801,1537-5358
Journal of Modern Italian Studies,1354-571X,1469-9583
Journal of Modern Jewish Studies,1472-5886,1472-5894
Journal of Modern Literature,0022-281X,1529-1464
Journal of Modern Optics,0950-0340,1362-3044
Journal of Modern Periodical Studies,1947-6574,2152-9272
Journal of Modern Russian History and Historiography,1947-9956,2210-2388
Journal of Molecular and Cellular Cardiology,0022-2828,
Journal of Molecular Biology,0022-2836,
Journal of Molecular Catalysis,0304-5102,
Journal of Molecular Catalysis A: Chemical,1381-1169,
Journal of Molecular Catalysis B: Enzymatic,1381-1177,
Journal of Molecular Cell Biology,1674-2788,1759-4685
Journal of Molecular Endocrinology,0952-5041,1479-6813
Journal of Molecular Evolution,0022-2844,1432-1432
Journal of Molecular Graphics,0263-7855,
Journal of Molecular Graphics and Modelling,1093-3263,
Journal of Molecular Histology,1567-2379,1567-2387
Journal of Molecular Liquids,0167-7322,
Journal of Molecular Medicine,0946-2716,1432-1440
Journal of Molecular Microbiology and Biotechnology,1464-1801,1660-2412
Journal of Molecular Modeling,1610-2940,0948-5023
Journal of Molecular Neuroscience,0895-8696,1559-1166
Journal of Molecular Recognition,0952-3499,1099-1352
Journal of Molecular Signaling,,1750-2187
Journal of Molecular Spectroscopy,0022-2852,
Journal of Molecular Structure,0022-2860,
Journal of Molecular Structure: Theochem,0166-1280,
Journal of Molluscan Studies,0260-1230,1464-3766
Journal of Monetary Economics,0304-3932,
Journal of Money Laundering Control,1368-5201,
"Journal of Money, Credit and Banking",0022-2879,1538-4616
Journal of Moral Education,0305-7240,1465-3877
Journal of Moral Philosophy (Brill),1740-4681,1745-5243
Journal of Moral Philosophy (Sage),1740-4681,1745-5243
Journal of Moravian History,1933-6632,2161-6310
Journal of Morphology,0362-2525,1097-4687
Journal of Motor Behavior,0022-2895,1940-1027
Journal of Mountain Science,1672-6316,1993-0321
Journal of Multi-Criteria Decision Analysis,1057-9214,1099-1360
Journal of Multicultural Discourses,1744-7143,1747-6615
Journal of Multicultural Social Work,1042-8224,
Journal of Multicultural Social Work,1042-8224,
Journal of Multilingual & Multicultural Development,0143-4632,1747-7557
Journal of Multilingual Communication Disorders (Informa),1476-9670,1476-9689
Journal of Multilingual Communication Disorders (T&F),1476-9670,1476-9689
Journal of Multinational Finance Management,1042-444X,1873-1309
Journal of Multinational Financial Management,1042-444X,
Journal of Multiscale Modeling,1756-9737,1756-9745
Journal of Multivariate Analysis,0047-259X,
Journal of Muscle Research and Cell Motility,0142-4319,1573-2657
Journal of Musculoskeletal Pain (Haworth),1058-2452,1540-7012
Journal of Musculoskeletal Pain (Informa),1058-2452,1540-7012
Journal of Musculoskeletal Research,0218-9577,1793-6497
Journal of Museum Education,1059-8650,2051-6169
Journal of Music Teacher Education,1057-0837,
Journal of Music Theory,0022-2909,
Journal of Musicological Research,0141-1896,1547-7304
Journal of Musicology,0277-9269,1533-8347
Journal of Muslim Mental Health,1556-4908,1556-5009
Journal of Muslim Minority Affairs,1360-2004,1469-9591
Journal of Muslims in Europe,2211-792X,2211-7954
Journal of Nanjing Medical University,1007-4376,
Journal of Nanobiotechnology,,1477-3155
Journal of Nanomaterials,1687-4110,1687-4129
Journal of Nanomechanics and Micromechanics,2153-5434,2153-5477
Journal of Nanoparticle Research,1388-0764,1572-896X
Journal of Nanophotonics,,1934-2608
Journal of Nanotechnology,1687-9503,1687-9511
Journal of Nanotechnology in Engineering and Medicine,1949-2944,1949-2952
Journal of Natural Fibers,1544-0478,1544-046X
Journal of Natural Fibers,1544-0478,1544-046X
Journal of Natural Gas Chemistry,1003-9953,
Journal of Natural Gas Science and Engineering,1875-5100,
Journal of Natural History,0022-2933,1464-5262
Journal of Natural Medicines,1340-3443,1861-0293
